,USDCAD=X,USDCAD=X,USDCAD=X,USDCAD=X,USDCAD=X,USDCAD=X,^VIX,^VIX,^VIX,^VIX,^VIX,^VIX,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
2018-02-12,1.258810043334961,1.262030005455017,1.2554999589920044,1.2587000131607056,1.2587000131607056,0.0,27.25,29.700000762939453,24.420000076293945,25.610000610351562,25.610000610351562,0.0,15148.099609375,15292.5,15114.0,15241.900390625,15241.900390625,25421580000.0,2636.75,2672.610107421875,2622.449951171875,2656.0,2656.0,4055790000.0
2018-02-13,1.2581000328063965,1.2623800039291382,1.2566800117492676,1.257699966430664,1.257699966430664,0.0,26.940000534057617,27.81999969482422,24.469999313354492,24.969999313354492,24.969999313354492,0.0,15206.2001953125,15250.0,15147.0,15216.5,15216.5,21932670000.0,2646.27001953125,2668.840087890625,2637.080078125,2662.93994140625,2662.93994140625,3472870000.0
2018-02-14,1.258929967880249,1.2647299766540527,1.253309965133667,1.2589000463485718,1.2589000463485718,0.0,23.479999542236328,25.719999313354492,18.989999771118164,19.260000228881836,19.260000228881836,0.0,15143.7998046875,15391.099609375,15120.7998046875,15328.2998046875,15328.2998046875,28617740000.0,2651.2099609375,2702.10009765625,2648.8701171875,2698.6298828125,2698.6298828125,4003740000.0
2018-02-15,1.2482500076293945,1.2536200284957886,1.2465800046920776,1.2483199834823608,1.2483199834823608,0.0,18.389999389648438,20.65999984741211,17.600000381469727,19.1299991607666,19.1299991607666,0.0,15438.400390625,15445.7998046875,15276.599609375,15407.7001953125,15407.7001953125,24874910000.0,2713.4599609375,2731.510009765625,2689.820068359375,2731.199951171875,2731.199951171875,3684910000.0
2018-02-16,1.2479599714279175,1.2552499771118164,1.2450499534606934,1.2482000589370728,1.2482000589370728,0.0,18.739999771118164,20.989999771118164,17.440000534057617,19.459999084472656,19.459999084472656,0.0,15424.599609375,15500.7998046875,15404.2001953125,15452.599609375,15452.599609375,21528830000.0,2727.139892578125,2754.419921875,2725.110107421875,2732.219970703125,2732.219970703125,3637460000.0
2018-02-20,1.2567499876022339,1.2627400159835815,1.2558000087738037,1.256700038909912,1.256700038909912,0.0,20.530000686645508,21.610000610351562,19.75,20.600000381469727,20.600000381469727,0.0,15427.2001953125,15499.0,15414.599609375,15439.400390625,15439.400390625,19193990000.0,2722.989990234375,2737.60009765625,2706.760009765625,2716.260009765625,2716.260009765625,3627610000.0
2018-02-21,1.2646000385284424,1.2682299613952637,1.264299988746643,1.2647000551223755,1.2647000551223755,0.0,20.760000228881836,21.040000915527344,16.969999313354492,20.020000457763672,20.020000457763672,0.0,15472.900390625,15625.599609375,15472.900390625,15524.0,15524.0,22186890000.0,2720.530029296875,2747.75,2701.2900390625,2701.330078125,2701.330078125,3779400000.0
2018-02-22,1.2699099779129028,1.2750600576400757,1.2674200534820557,1.2697700262069702,1.2697700262069702,0.0,20.56999969482422,20.610000610351562,18.06999969482422,18.719999313354492,18.719999313354492,0.0,15588.900390625,15638.0,15493.599609375,15508.2001953125,15508.2001953125,20897930000.0,2710.419921875,2731.260009765625,2697.77001953125,2703.9599609375,2703.9599609375,3701270000.0
2018-02-23,1.2714300155639648,1.2724900245666504,1.2638299465179443,1.2711999416351318,1.2711999416351318,0.0,17.959999084472656,18.799999237060547,16.469999313354492,16.489999771118164,16.489999771118164,0.0,15560.2001953125,15641.099609375,15533.2998046875,15638.5,15638.5,16363110000.0,2715.800048828125,2747.760009765625,2713.739990234375,2747.300048828125,2747.300048828125,3189190000.0
2018-02-26,1.2647099494934082,1.2710800170898438,1.2614500522613525,1.2648500204086304,1.2648500204086304,0.0,16.530000686645508,16.940000534057617,15.800000190734863,15.800000190734863,15.800000190734863,0.0,15701.099609375,15735.2001953125,15652.2001953125,15714.7001953125,15714.7001953125,17284450000.0,2757.3701171875,2780.639892578125,2753.780029296875,2779.60009765625,2779.60009765625,3424650000.0
2018-02-27,1.2685400247573853,1.276039958000183,1.2666699886322021,1.268399953842163,1.268399953842163,0.0,15.829999923706055,18.979999542236328,15.289999961853027,18.59000015258789,18.59000015258789,0.0,15703.7001953125,15766.5,15655.5,15671.2001953125,15671.2001953125,19562440000.0,2780.449951171875,2789.14990234375,2744.219970703125,2744.280029296875,2744.280029296875,3745080000.0
